% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 4 2023, 21:07"
% Dimension,1
% Nodes,5427
% Expressions,1
% Description,Global
% Integration 1 (mm);Integration 1
14.625;7430.3
14.850;7461.0
15.075;7491.5
15.300;7521.3
15.525;7550.9
15.750;7579.9
15.975;7608.5
16.200;7636.6
16.425;7664.4
16.650;7691.7
16.875;7718.7
17.100;7745.2
17.325;7771.3
17.550;7797.0
17.775;7822.4
18.000;7847.3
18.225;7872.0
18.450;7896.2
18.675;7920.0
18.900;7943.5
19.125;7966.7
19.350;7989.4
19.575;8011.9
19.800;8034.0
20.025;8055.8
20.250;8077.2
20.475;8098.3
20.700;8119.1
20.925;8139.6
21.150;8159.7
21.375;8179.6
21.600;8199.1
21.825;8218.4
22.050;8237.3
22.275;8256.0
22.500;8274.4
22.725;8292.5
22.950;8310.3
23.175;8327.9
23.400;8345.1
23.625;8362.1
23.850;8378.9
24.075;8395.4
24.300;8411.6
24.525;8427.6
24.750;8443.3
24.975;8458.8
25.200;8474.0
25.425;8489.0
25.650;8503.8
25.875;8518.3
26.100;8532.6
26.325;8546.7
26.550;8560.6
26.775;8574.2
27.000;8587.6
27.225;8600.9
27.450;8613.9
27.675;8626.7
27.900;8639.3
28.125;8651.7
28.350;8663.9
28.575;8675.9
28.800;8687.7
29.025;8699.3
29.250;8710.7
29.475;8722.0
29.700;8733.1
29.925;8744.0
30.150;8754.7
30.375;8765.2
30.600;8775.6
30.825;8785.8
31.050;8795.8
31.275;8805.7
31.500;8815.4
31.725;8825.0
31.950;8834.4
32.175;8843.7
32.400;8852.7
32.625;8861.7
32.850;8870.5
33.075;8879.2
33.300;8887.7
33.525;8896.0
33.750;8904.3
33.975;8912.4
34.200;8920.3
34.425;8928.2
34.650;8935.9
34.875;8943.4
35.100;8950.9
35.325;8958.2
35.550;8965.4
35.775;8972.5
36.000;8979.4
36.225;8986.3
36.450;8993.0
36.675;8999.6
36.900;9006.1
37.125;9012.5
37.350;9018.8
37.575;9025.0
37.800;9031.0
38.025;9037.0
38.250;9042.9
38.475;9048.6
38.700;9054.3
38.925;9059.9
39.150;9065.3
39.375;9070.7
39.600;9076.0
39.825;9081.2
40.050;9086.3
40.275;9091.3
40.500;9096.2
40.725;9101.0
40.950;9105.8
41.175;9110.5
41.400;9115.1
41.625;9119.6
41.850;9124.0
42.075;9128.3
42.300;9132.6
42.525;9136.8
42.750;9140.9
42.975;9145.0
43.200;9149.0
43.425;9152.9
43.650;9156.7
43.875;9160.5
44.100;9164.2
44.325;9167.8
44.550;9171.4
44.775;9174.9
45.000;9178.3
8.9918E-5;1.0327
0.22502;2584.4
0.45004;5168.9
0.67503;5673.6
0.90002;5776.3
1.1250;5872.5
1.3500;5963.9
1.5750;6051.6
1.8000;6135.9
2.0250;6217.6
2.2500;6296.8
2.4750;6373.9
2.7000;6449.2
2.9250;6522.7
3.1500;6594.5
3.3750;6664.8
3.6000;6733.7
3.8250;6801.3
4.0500;6867.7
4.2750;6932.8
4.5000;6996.8
4.7250;7059.6
4.9500;7121.3
5.1750;7182.0
5.4000;7241.6
5.6250;7300.2
5.8500;7357.9
6.0750;7414.6
6.3000;7470.4
6.5250;7525.4
6.7500;7579.5
6.9750;7632.7
7.2000;7685.0
7.4250;7736.6
7.6500;7787.3
7.8750;7837.3
8.1000;7886.5
8.3250;7934.9
8.5500;7982.5
8.7750;8029.4
9.0000;8075.6
9.2250;8121.1
9.4500;8165.8
9.6750;8209.9
9.9000;8253.4
10.125;8296.0
10.350;8338.2
10.575;8379.6
10.800;8420.5
11.025;8460.6
11.250;8500.3
11.475;8539.2
11.700;8577.7
11.925;8615.4
12.150;8652.7
12.375;8689.3
12.600;8725.5
12.825;8761.0
13.050;8796.1
13.275;8830.6
13.500;8864.6
13.725;8898.0
13.950;8931.0
14.175;8963.4
14.400;8995.4
14.625;9026.8
14.850;9057.9
15.075;9088.4
15.300;9118.4
15.525;9148.0
15.750;9177.2
15.975;9205.9
16.200;9234.2
16.425;9262.0
16.650;9289.4
16.875;9316.4
17.100;9343.0
17.325;9369.1
17.550;9394.9
17.775;9420.3
18.000;9445.3
18.225;9469.9
18.450;9494.1
18.675;9518.0
18.900;9541.5
19.125;9564.6
19.350;9587.4
19.575;9609.8
19.800;9631.9
20.025;9653.6
20.250;9675.0
20.475;9696.0
20.700;9716.8
20.925;9737.2
21.150;9757.3
21.375;9777.1
21.600;9796.5
21.825;9815.7
22.050;9834.6
22.275;9853.1
22.500;9871.4
22.725;9889.4
22.950;9907.1
23.175;9924.6
23.400;9941.7
23.625;9958.6
23.850;9975.2
24.075;9991.6
